,SalePrice,GarageArea,LotArea,TotalBsmtSF,GrLivArea,2ndFlrSF,1stFlrSF
313,375000,513,215245,2136,2036,0,2036
314,178000,546,9600,728,1641,809,832
315,188500,432,7795,716,1432,716,716
316,260000,484,13005,845,2353,1200,1153
317,270000,1025,9000,1088,1959,871,1088
318,260000,656,9900,1347,2646,1274,1372
319,187500,588,14115,1372,1472,0,1472
320,342643,840,16259,1249,2596,1347,1249
321,354000,872,12099,1136,2468,1332,1136
322,301000,576,10380,1502,2730,1177,1553
323,126175,220,5820,1162,1163,0,1163
324,242000,564,11275,710,2978,1080,1898
325,87000,360,5000,720,803,0,803
326,324000,473,10846,1719,1719,0,1719
327,145250,292,11600,1383,1383,0,1383
328,214500,441,11888,844,2134,689,1445
329,78000,189,6402,596,1192,596,596
330,119000,352,10624,1728,1728,0,1728
331,139000,308,8176,1056,1056,0,1056
332,284000,880,10655,3206,1629,0,1629
333,207000,484,8198,1358,1358,0,1358
334,192000,472,9042,943,1638,695,943
335,228950,529,164660,1499,1786,167,1619
336,377426,676,14157,1922,1922,0,1922
337,214000,532,9135,1536,1536,0,1536
338,202500,440,14145,1208,1621,0,1621
339,155000,297,12400,1215,1215,0,1215
340,202900,431,14191,967,1908,915,993
341,82000,294,8400,721,841,0,841
342,87500,400,8544,0,1040,0,1040
343,266000,564,8849,1684,1684,0,1684
344,85000,336,2592,536,1112,576,536
345,140200,312,6435,972,1577,605,972
346,151500,301,12772,958,958,0,958
347,157500,498,17600,1478,1478,0,1478
348,154000,474,2448,764,1626,862,764
349,437154,706,20431,1848,2728,880,1848
350,318061,617,7820,1869,1869,0,1869
351,190000,445,5271,1453,1453,0,1453
352,95000,200,9084,616,1111,495,616
353,105900,484,8520,624,720,0,720
354,140000,240,8400,940,1595,403,1192
355,177500,521,11249,1200,1200,0,1200
356,173000,400,9248,1158,1167,0,1167
357,134000,528,4224,1142,1142,0,1142
358,130000,288,6930,1062,1352,0,1352
359,280000,592,12011,1086,1924,838,1086
360,156000,470,7540,888,912,0,912
361,145000,240,9144,883,1505,517,988
362,198500,672,7301,0,1922,1427,495
363,118000,264,1680,483,987,504,483
364,190000,566,18800,796,1574,784,790
365,147000,468,10690,672,1344,672,672
366,159000,514,9500,1394,1394,0,1394
367,165000,296,9150,1099,1431,0,1431
368,132000,244,7800,1268,1268,0,1268
369,162000,576,9830,1063,1287,0,1287
370,172400,460,8121,953,1664,711,953
371,134432,680,17120,0,1588,468,1120
372,125000,264,7175,744,752,0,752
373,123000,270,10634,608,1319,0,1319
374,219500,434,8200,847,1928,1081,847
375,61000,0,10020,683,904,0,904
376,148000,576,8846,870,914,0,914
377,340000,610,11143,1580,2466,886,1580
378,394432,834,11394,1856,1856,0,1856
379,179000,463,8123,982,1800,793,1007
380,127000,308,5000,1026,1691,665,1026
381,187750,572,7200,1293,1301,0,1301
382,213500,639,9245,939,1797,858,939
383,76000,360,9000,784,784,0,784
384,240000,501,53107,1580,1953,874,1079
385,192000,430,3182,1256,1269,0,1269
386,81000,0,8410,658,1184,526,658
387,125000,352,7200,1041,1125,0,1125
388,191000,577,9382,1468,1479,0,1479
389,426000,846,12474,1682,2332,590,1742
390,119000,384,8405,861,1367,406,961
391,215000,560,12209,804,1961,1157,804
392,106500,294,8339,0,882,0,882
393,100000,0,7446,788,788,0,788
394,109000,240,10134,735,1034,299,735
395,129000,596,9571,1144,1144,0,1144
396,123000,600,7200,894,894,0,894
397,169500,264,7590,864,1812,936,876
398,67000,338,8967,961,1077,0,1077
399,241000,438,8125,1092,1550,438,1112
400,245500,500,14963,1260,1288,0,1288
401,164990,400,8767,1310,1310,0,1310
402,108000,240,10200,672,672,0,672
403,258000,420,12090,1141,2263,1098,1165
404,168000,373,10364,806,1572,766,806
405,150000,490,9991,1281,1620,0,1620
406,115000,240,10480,1064,1639,0,1166
407,177000,308,15576,840,1680,840,840
408,280000,947,14154,1063,2172,1101,1071
409,339750,836,10800,1034,2078,1028,1050
410,60000,350,9571,1276,1276,0,1276
411,145000,572,34650,1056,1056,0,1056
412,222000,484,4403,1470,1478,0,1478
413,115000,360,8960,1008,1028,0,1028
414,228000,678,11228,1080,2097,1017,1080
415,181134,396,8899,1340,1340,0,1340
416,149500,440,7844,672,1400,728,672
417,239000,864,22420,1370,2624,1254,1370
418,126000,240,8160,756,1134,378,756
419,142000,304,8450,1056,1056,0,1056
420,206300,784,7060,1344,1344,0,1344
421,215000,529,16635,1602,1602,0,1602
422,113000,520,21750,988,988,0,988
423,315000,696,9200,1470,2630,1160,1470
424,139000,297,9000,1196,1196,0,1196
425,135000,240,3378,651,1389,682,707
426,275000,569,12800,1518,1644,0,1644
427,109008,352,8593,907,907,0,907
428,195400,628,6762,1208,1208,0,1208
429,175000,576,11457,1392,1412,0,1412
430,85400,264,1680,483,987,504,483
431,79900,0,5586,901,1198,110,1088
432,122500,440,1920,765,1365,600,765
433,181000,470,10839,926,1604,678,926
434,81000,0,1890,630,630,0,630
435,212000,550,10667,799,1661,834,827
436,116000,440,4400,648,1118,384,734
437,119000,180,6000,884,904,0,904
438,90350,352,4280,440,694,0,694
439,110000,528,12354,684,1196,512,684
440,555000,672,15431,3094,2402,0,2402
441,118000,0,12108,1440,1440,0,1440
442,162900,360,6240,1078,1573,445,1128
443,172500,648,3922,1258,1258,0,1258
444,210000,493,8750,915,1908,975,933
445,127500,480,9855,1436,1689,0,1689
446,190000,578,16492,1517,1888,0,1888
447,199900,431,11214,930,1886,930,956
448,119500,198,8600,780,1376,596,780
449,120000,308,6000,649,1183,504,679
450,110000,270,5684,813,813,0,813
451,280000,576,70761,1533,1533,0,1533
452,204000,422,9303,872,1756,868,888
453,210000,676,9000,768,1590,804,786
454,188000,560,9297,1728,1728,0,1728
455,175500,528,9600,1242,1242,0,1242
456,98000,513,4571,624,1344,720,624
457,256000,529,53227,1364,1663,0,1663
458,161000,228,5100,588,1666,833,833
459,110000,352,7015,709,1203,224,979
460,263435,552,8004,832,1935,1103,832
461,155000,576,7200,560,1135,560,575
462,62383,360,8281,864,864,0,864
463,188700,240,11988,715,1660,811,849
464,124000,0,8430,1040,1040,0,1040
465,178740,398,3072,1375,1414,0,1414
466,167000,526,10628,1277,1277,0,1277
467,146500,312,9480,728,1644,756,888
468,250000,866,11428,1626,1634,0,1634
469,187000,506,9291,832,1710,878,832
470,212000,528,6820,1488,1502,0,1502
471,190000,534,11952,808,1969,808,1161
472,148000,525,3675,547,1072,0,1072
473,440000,908,14977,1976,1976,0,1976
474,251000,499,5330,1494,1652,0,1652
475,132500,624,8480,970,970,0,970
476,208900,508,13125,1478,1493,0,1493
477,380000,694,13693,2153,2643,574,2069
478,297000,826,10637,1705,1718,0,1718
479,89471,672,5925,907,1131,0,1131
480,326000,772,16033,1833,1850,0,1850
481,374000,874,11846,1792,1792,0,1792
482,155000,164,2500,910,1826,910,916
483,164000,402,4500,1216,1216,0,1216
484,132500,264,7758,999,999,0,999
485,147000,264,9600,1113,1113,0,1113
486,156000,515,10289,1073,1073,0,1073
487,175000,487,12243,1484,1484,0,1484
488,160000,520,10800,954,2414,648,1766
489,86000,286,1526,630,630,0,630
490,115000,336,2665,264,1304,688,616
491,133000,240,9490,806,1578,620,958
492,172785,429,15578,728,1456,728,728
493,155000,308,7931,1269,1269,0,1269
494,91300,273,5784,190,886,0,886
495,34900,0,7879,720,720,0,720
496,430000,546,12692,3200,3228,0,3228
497,184000,240,9120,1026,1820,687,1133
498,130000,288,7800,864,899,0,899
499,120000,297,7535,912,912,0,912
500,113000,264,1890,672,1218,546,672
501,226700,603,9803,866,1768,902,866
502,140000,461,9170,1214,1214,0,1214
503,289000,484,15602,1501,1801,0,1801
504,147000,440,2308,855,1322,467,855
505,124500,400,7596,960,1960,1000,960
506,215000,471,9554,777,1911,846,1065
507,208300,676,7862,1218,1218,0,1218
508,161000,360,9600,689,1378,689,689
509,124500,270,9600,1041,1041,0,1041
510,164900,288,14559,1008,1363,0,1363
511,202665,474,6792,1368,1368,0,1368
512,129900,624,9100,864,864,0,864
513,134000,484,9187,1084,1080,0,1080
514,96500,200,10594,768,789,0,789
515,402861,900,12220,2006,2020,0,2020
516,158000,583,10448,689,2119,741,1378
517,265000,889,10208,1264,2344,1067,1277
518,211000,546,9531,794,1796,914,882
519,234000,282,10918,1276,2080,804,1276
520,106250,0,10800,0,1294,600,694
521,150000,336,11988,1244,1244,0,1244
522,159000,420,5000,1004,1664,660,1004
523,184750,884,40094,3138,4676,1538,3138
524,315750,834,11787,1379,2398,1015,1383
525,176000,453,7500,1257,1266,0,1266
526,132000,252,13300,928,928,0,928
527,446261,858,14948,1452,2713,1237,1476
528,86000,0,9098,528,605,0,605
529,200624,484,32668,2035,2515,0,2515
530,175000,600,10200,1461,1509,0,1509
531,128000,502,6155,611,1362,611,751
532,107500,392,7200,0,827,0,827
533,39300,0,5000,0,334,0,334
534,178000,403,9056,707,1414,707,707
535,107500,0,7000,1117,1347,527,820
536,188000,527,8924,880,1724,844,880
537,111250,576,12735,864,864,0,864
538,158000,336,11553,1051,1159,0,1159
539,272000,670,11423,1581,1601,0,1601
540,315000,765,14601,1838,1838,0,1838
541,248000,648,11000,969,2285,1288,997
542,213250,583,10140,1650,1680,0,1680
543,133000,367,4058,723,767,0,767
544,179665,426,17104,654,1496,832,664
545,229000,786,13837,1204,2183,806,1377
546,210000,440,8737,1065,1635,720,915
547,129500,624,7244,768,768,0,768
548,125000,720,8235,825,825,0,825
549,263000,615,9375,912,2094,1182,912
550,140000,440,4043,1069,1069,0,1069
551,112500,288,6000,928,928,0,928
552,255500,908,11146,1709,1717,0,1717
553,108000,520,8777,0,1126,0,1126
554,284000,871,10625,998,2046,1040,1006
555,113000,280,6380,993,1048,0,1048
556,141000,299,14850,1092,1092,0,1092
557,108000,570,11040,637,1336,439,897
558,175000,406,21872,729,1446,717,729
559,234000,420,3196,1374,1557,0,1557
560,121500,528,11341,1392,1392,0,1392
561,170000,418,10010,1389,1389,0,1389
562,108000,0,13907,996,996,0,996
563,185000,396,21780,1163,1674,511,1163
564,268000,590,13346,1095,2295,1129,1166
565,128000,216,6858,806,1647,806,841
566,325000,656,11198,1122,2504,1370,1134
567,214000,532,10171,1517,1535,0,1535
568,316600,612,12327,1496,2132,636,1496
569,135960,600,7032,943,943,0,943
570,142600,576,13101,1728,1728,0,1728
571,120000,288,7332,864,864,0,864
572,224500,650,13159,846,1692,846,846
573,170000,400,9967,384,1430,656,774
574,139000,288,10500,372,1109,533,576
575,118500,336,8480,832,1216,384,832
576,145000,216,6292,861,1477,600,877
577,164500,564,11777,1164,1320,0,1320
578,146000,540,3604,689,1392,689,703
579,131500,352,12150,1050,1795,745,1050
580,181900,572,14585,1144,1429,0,1429
581,253293,1390,12704,2042,2042,0,2042
582,118500,0,11841,816,816,0,816
583,325000,880,13500,1237,2775,1254,1521
584,133000,240,6120,884,1573,584,989
585,369900,880,11443,1868,2028,0,2028
586,130000,275,10267,816,838,0,838
587,137000,528,8740,840,860,0,860
588,143000,452,25095,1437,1473,0,1473
589,79500,308,9100,742,935,0,779
590,185900,520,8320,770,1582,812,770
591,451950,842,13478,1722,2296,568,1728
592,138000,816,6600,816,816,0,816
593,140000,420,4435,848,848,0,848
594,110000,280,7990,924,924,0,924
595,319000,758,11302,1814,1826,0,1826
596,114504,216,3600,684,1368,684,684
597,194201,648,3922,1258,1402,0,1402
598,217500,621,12984,1430,1647,0,1647
599,151000,452,1950,716,1556,840,716
600,275000,736,10927,1058,1904,846,1058
601,141000,544,9000,780,1375,595,780
602,220000,506,10041,908,1915,988,927
603,151000,480,3182,600,1200,600,600
604,221000,530,12803,1494,1494,0,1494
605,205000,486,13600,768,1986,800,1186
606,152000,576,12464,1040,1040,0,1040
607,225000,230,7800,896,2008,896,1112
608,359100,380,12168,965,3194,1254,1940
609,118500,261,7943,1029,1029,0,1029
610,313000,736,11050,1440,2153,677,1476
611,148000,564,10395,1032,1032,0,1032
612,261500,531,11885,1299,1872,573,1299
613,147000,0,8402,1120,1120,0,1120
614,75500,0,1491,630,630,0,630
615,137500,480,8800,936,1054,0,1054
616,183200,393,7861,783,1509,702,807
617,105500,528,7227,832,832,0,832
618,314813,774,11694,1822,1828,0,1828
619,305000,749,12244,1482,2262,780,1482
620,67000,0,8248,864,864,0,864
621,240000,624,10800,1522,2614,1066,1548
622,135000,484,7064,980,980,0,980
623,168500,440,2117,756,1512,756,756
624,165150,484,10400,732,1790,778,1012
625,160000,440,10000,1116,1116,0,1116
626,139900,286,12342,978,1422,0,1422
627,153000,364,9600,1156,1520,0,1520
628,135000,504,11606,1040,2080,1040,1040
629,168500,520,9020,1248,1350,0,1350
630,124000,240,9000,636,1750,661,1089
631,209500,627,4590,1554,1554,0,1554
632,82500,544,11900,1386,1411,0,1411
633,139400,260,9250,1056,1056,0,1056
634,144000,576,6979,1056,1056,0,1056
635,200000,0,10896,1440,3395,1440,1440
636,60000,0,6120,264,800,0,800
637,93000,256,6000,811,1387,576,811
638,85000,0,8777,796,796,0,796
639,264561,648,3982,1520,1567,0,1567
640,274000,588,12677,1518,1518,0,1518
641,226000,650,7050,1057,1929,872,1057
642,345000,538,13860,1952,2704,704,2000
643,152000,462,10793,780,1620,840,780
644,370878,478,9187,1766,1766,0,1766
645,143250,576,10530,981,981,0,981
646,98300,420,7200,0,1048,0,1048
647,155000,495,10452,1094,1094,0,1094
648,155000,442,7700,756,1839,788,1051
649,84500,0,1936,630,630,0,630
650,205950,562,8125,813,1665,843,822
651,108000,296,9084,755,1510,755,755
652,191000,512,8750,880,1716,807,909
653,135000,216,10320,756,1469,713,756
654,350000,839,10437,2109,2113,0,2113
655,88000,264,1680,525,1092,567,525
656,145500,312,10007,1053,1053,0,1053
657,149000,270,7200,776,1502,651,851
658,97500,330,17503,912,1458,546,912
659,167000,480,9937,1486,1486,0,1486
660,197900,550,12384,793,1935,793,1142
661,402000,711,46589,1629,2448,762,1686
662,110000,576,13560,1392,1392,0,1392
663,137500,588,10012,1138,1181,0,1181
664,423000,1134,20896,2077,2097,0,2097
665,230500,504,11194,1406,1936,482,1454
666,129000,596,18450,1021,2380,915,1465
667,193500,575,8125,1408,1679,0,1679
668,168000,576,14175,1188,1437,0,1437
669,137500,252,11600,700,1180,0,1180
670,173500,540,8633,738,1476,738,738
671,103600,300,6629,672,1369,672,697
672,165000,546,11250,1208,1208,0,1208
673,257500,416,14442,1477,1839,0,1839
674,140000,384,9200,1136,1136,0,1136
675,148500,440,2289,855,1441,586,855
676,87000,779,9600,1095,1774,679,1095
677,109500,240,9022,768,792,0,792
678,372500,834,11844,2046,2046,0,2046
679,128500,572,9945,988,988,0,988
680,143000,264,8012,923,923,0,923
681,159434,281,4500,793,1520,672,848
682,173000,431,2887,1291,1291,0,1291
683,285000,702,11248,1626,1668,0,1668
684,221000,486,16770,1195,1839,644,1195
685,207500,577,5062,1190,2090,900,1190
686,227875,578,10207,874,1761,887,874
687,148800,480,5105,551,1102,551,551
688,392000,567,8089,1419,1419,0,1419
689,194700,460,7577,1362,1362,0,1362
690,141000,420,4426,848,848,0,848
691,755000,832,21535,2444,4316,1872,2444
692,335000,628,26178,1210,2519,1281,1238
693,108480,326,5400,1073,1073,0,1073
